Date;ipca
01/01/1980;6.615.649.161
01/02/1980;4.616.918.853
01/03/1980;6.038.388.665
01/04/1980;5.286.113.824
01/05/1980;5.702.720.651
01/06/1980;5.305.304.307
01/07/1980;5.545.612.091
01/08/1980;4.945.582.443
01/09/1980;4.230.325.311
01/10/1980;9.480.531.198
01/11/1980;6.673.359.756
01/12/1980;6.614.083.637
01/01/1981;6.837.511.117
01/02/1981;6.401.149.383
01/03/1981;4.971.748.138
01/04/1981;6.462.066.757
01/05/1981;5.559.560.048
01/06/1981;5.517.783.455
01/07/1981;6.255.819.584
01/08/1981;5.495.795.889
01/09/1981;5.256.840.496
01/10/1981;5.077.556.239
01/11/1981;5.271.557.697
01/12/1981;5.925.410.669
01/01/1982;6.97
01/02/1982;6.636.694.498
01/03/1982;5.712.590.196
01/04/1982;5.887.330.788
01/05/1982;6.658.542.954
01/06/1982;7.104.915.649
01/07/1982;6.357.925.068
01/08/1982;5.972.864.431
01/09/1982;5.080.259.913
01/10/1982;4.442.417.012
01/11/1982;5.288.454.359
01/12/1982;7.805.915.775
01/01/1983;8.641.100.315
01/02/1983;7.858.142.932
01/03/1983;7.344.849.217
01/04/1983;6.579.258.719
01/05/1983;648.295.911
01/06/1983;9.880.347.473
01/07/1983;1.007.843.853
01/08/1983;9.111.212.063
01/09/1983;1.030.060.113
01/10/1983;8.866.550.287
01/11/1983;7.384.241.205
01/12/1983;8.677.099.114
01/01/1984;9.668.938.438
01/02/1984;9.500.737.475
01/03/1984;8.938.548.355
01/04/1984;9.542.996.738
01/05/1984;9.050.223.532
01/06/1984;1.008.018.665
01/07/1984;972.466.767
01/08/1984;9.349.208.256
01/09/1984;1.174.807.339
01/10/1984;1.043.719.864
01/11/1984;1.052.633.767
01/12/1984;1.197.723.182
01/01/1985;1.175.926.231
01/02/1985;1.086.524.603
01/03/1985;1.016.228.959
01/04/1985;8.195.335.793
01/05/1985;7.195.839.296
01/06/1985;8.493.929.066
01/07/1985;1.031.299.833
01/08/1985;1.204.956.331
01/09/1985;1.111.740.317
01/10/1985;1.061.644.923
01/11/1985;1.397.293.864
01/12/1985;1.507.304.532
01/01/1986;1.437.235.061
01/02/1986;1.271.625.723
01/03/1986;4.770.185.768
01/04/1986;0.780003209
01/05/1986;139.908.696
01/06/1986;127.213.975
01/07/1986;1.710.307
01/08/1986;3.553.110.087
01/09/1986;1.715.595.999
01/10/1986;1.903.128.874
01/11/1986;5.452.292.568
01/12/1986;1.165.015.789
01/01/1987;1.320.854.204
01/02/1987;1.263.696.228
01/03/1987;1.637.188.861
01/04/1987;19.099.244
01/05/1987;2.145.136.044
01/06/1987;197.114.041
01/07/1987;9.210.063.354
01/08/1987;487.033.869
01/09/1987;7.781.127.785
01/10/1987;1.122.013.625
01/11/1987;1.507.906.058
01/12/1987;1.414.947.608
01/01/1988;1.888.941.195
01/02/1988;1.569.991.923
01/03/1988;1.760.050.964
01/04/1988;1.928.961.102
01/05/1988;1.741.961.027
01/06/1988;2.199.995.671
01/07/1988;2.191.008.273
01/08/1988;2.158.990.254
01/09/1988;2.745.005.663
01/10/1988;2.561.995.028
01/11/1988;2.794.011.826
01/12/1988;2.870.004.216
01/01/1989;3.749.001.314
01/02/1989;1.677.999.111
01/03/1989;6.819.992.984
01/04/1989;8.330.013.284
01/05/1989;1.791.996.988
01/06/1989;2.864.999.138
01/07/1989;277.399.782
01/08/1989;337.100.177
01/09/1989;3.755.999.868
01/10/1989;3.976.999.624
01/11/1989;4.782.000.135
01/12/1989;5.149.999.918
01/01/1990;6.755.000.228
01/02/1990;7.572.999.861
01/03/1990;8.238.999.966
01/04/1990;1.551.999.944
01/05/1990;7.589.999.593
01/06/1990;1.175.000.036
01/07/1990;1.291.999.967
01/08/1990;128.800.001
01/09/1990;1.441.000.013
01/10/1990;1.436.000.022
01/11/1990;1.680.999.974
01/12/1990;1.844.000.012
01/01/1991;20.75
01/02/1991;2.072.049.689
01/03/1991;1.192.289.223
01/04/1991;4.989.273.675
01/05/1991;7.431.840.738
01/06/1991;111.890.012
01/07/1991;1.240.897.317
01/08/1991;1.563.043.478
01/09/1991;1.563.075.766
01/10/1991;2.022.957.856
01/11/1991;2.521.028.859
01/12/1991;2.370.933.598
01/01/1992;2.594.028.287
01/02/1992;243.199.401
01/03/1992;2.140.029.219
01/04/1992;1.992.999.927
01/05/1992;2.486.001.639
01/06/1992;2.021.029.901
01/07/1992;2.183.005.869
01/08/1992;2.214.002.664
01/09/1992;2.462.994.718
01/10/1992;2.523.995.861
01/11/1992;2.249.004.102
01/12/1992;2.523.996.678
01/01/1993;3.034.995.324
01/02/1993;2.498.000.167
01/03/1993;2.726.001.901
01/04/1993;2.774.996.684
01/05/1993;2.768.998.645
01/06/1993;3.007.001.181
01/07/1993;3.072.000.386
01/08/1993;3.296.000.841
01/09/1993;35.689.997
01/10/1993;339.199.998
01/11/1993;3.556.000.515
01/12/1993;3.684.000.144
01/01/1994;41.31
01/02/1994;402.731.583
01/03/1994;4.275.047.927
01/04/1994;426.809.443
01/05/1994;4.402.942.561
01/06/1994;4.742.987.842
01/07/1994;6.840.159.106
01/08/1994;1.860.404.179
01/09/1994;1.529.523.993
01/10/1994;2.620.244.078
01/11/1994;2.809.497.356
01/12/1994;1.710.077.349
01/01/1995;1.700.017.709
01/02/1995;1.019.598.739
01/03/1995;1.550.350.481
01/04/1995;2.43
01/05/1995;2.67
01/06/1995;2.26
01/07/1995;2.36
01/08/1995;0.99
01/09/1995;0.99
01/10/1995;1.41
01/11/1995;1.47
01/12/1995;1.56
01/01/1996;1.34
01/02/1996;1.03
01/03/1996;0.35
01/04/1996;1.26
01/05/1996;1.22
01/06/1996;1.19
01/07/1996;1.11
01/08/1996;0.44
01/09/1996;0.15
01/10/1996;0.3
01/11/1996;0.32
01/12/1996;0.47
01/01/1997;1.18
01/02/1997;0.5
01/03/1997;0.51
01/04/1997;0.88
01/05/1997;0.41
01/06/1997;0.54
01/07/1997;0.22
01/08/1997;-0.02
01/09/1997;0.06
01/10/1997;0.23
01/11/1997;0.17
01/12/1997;0.43
01/01/1998;0.71
01/02/1998;0.34
01/03/1998;0.34
01/04/1998;0.24
01/05/1998;0.5
01/06/1998;0.02
01/07/1998;-0.12
01/08/1998;-0.51
01/09/1998;-0.22
01/10/1998;0.02
01/11/1998;-0.12
01/12/1998;0.33
01/01/1999;0.7
01/02/1999;1.05
01/03/1999;1.1
01/04/1999;0.56
01/05/1999;0.3
01/06/1999;0.19
01/07/1999;1.09
01/08/1999;0.56
01/09/1999;0.31
01/10/1999;1.19
01/11/1999;0.95
01/12/1999;0.6
01/01/2000;0.62
01/02/2000;0.13
01/03/2000;0.22
01/04/2000;0.42
01/05/2000;0.01
01/06/2000;0.23
01/07/2000;1.61
01/08/2000;1.31
01/09/2000;0.23
01/10/2000;0.14
01/11/2000;0.32
01/12/2000;0.59
01/01/2001;0.57
01/02/2001;0.46
01/03/2001;0.38
01/04/2001;0.58
01/05/2001;0.41
01/06/2001;0.52
01/07/2001;1.33
01/08/2001;0.7
01/09/2001;0.28
01/10/2001;0.83
01/11/2001;0.71
01/12/2001;0.65
01/01/2002;0.52
01/02/2002;0.36
01/03/2002;0.6
01/04/2002;0.8
01/05/2002;0.21
01/06/2002;0.42
01/07/2002;1.19
01/08/2002;0.65
01/09/2002;0.72
01/10/2002;1.31
01/11/2002;3.02
01/12/2002;2.1
01/01/2003;2.25
01/02/2003;1.57
01/03/2003;1.23
01/04/2003;0.97
01/05/2003;0.61
01/06/2003;-0.15
01/07/2003;0.2
01/08/2003;0.34
01/09/2003;0.78
01/10/2003;0.29
01/11/2003;0.34
01/12/2003;0.52
01/01/2004;0.76
01/02/2004;0.61
01/03/2004;0.47
01/04/2004;0.37
01/05/2004;0.51
01/06/2004;0.71
01/07/2004;0.91
01/08/2004;0.69
01/09/2004;0.33
01/10/2004;0.44
01/11/2004;0.69
01/12/2004;0.86
01/01/2005;0.58
01/02/2005;0.59
01/03/2005;0.61
01/04/2005;0.87
01/05/2005;0.49
01/06/2005;-0.02
01/07/2005;0.25
01/08/2005;0.17
01/09/2005;0.35
01/10/2005;0.75
01/11/2005;0.55
01/12/2005;0.36
01/01/2006;0.59
01/02/2006;0.41
01/03/2006;0.43
01/04/2006;0.21
01/05/2006;0.1
01/06/2006;-0.21
01/07/2006;0.19
01/08/2006;0.05
01/09/2006;0.21
01/10/2006;0.33
01/11/2006;0.31
01/12/2006;0.48
01/01/2007;0.44
01/02/2007;0.44
01/03/2007;0.37
01/04/2007;0.25
01/05/2007;0.28
01/06/2007;0.28
01/07/2007;0.24
01/08/2007;0.47
01/09/2007;0.18
01/10/2007;0.3
01/11/2007;0.38
01/12/2007;0.74
01/01/2008;0.54
01/02/2008;0.49
01/03/2008;0.48
01/04/2008;0.55
01/05/2008;0.79
01/06/2008;0.74
01/07/2008;0.53
01/08/2008;0.28
01/09/2008;0.26
01/10/2008;0.45
01/11/2008;0.36
01/12/2008;0.28
01/01/2009;0.48
01/02/2009;0.55
01/03/2009;0.2
01/04/2009;0.48
01/05/2009;0.47
01/06/2009;0.36
01/07/2009;0.24
01/08/2009;0.15
01/09/2009;0.24
01/10/2009;0.28
01/11/2009;0.41
01/12/2009;0.37
01/01/2010;0.75
01/02/2010;0.78
01/03/2010;0.52
01/04/2010;0.57
01/05/2010;0.43
01/06/2010;0
01/07/2010;0.01
01/08/2010;0.04
01/09/2010;0.45
01/10/2010;0.75
01/11/2010;0.83
01/12/2010;0.63
01/01/2011;0.83
01/02/2011;0.8
01/03/2011;0.79
01/04/2011;0.77
01/05/2011;0.47
01/06/2011;0.15
01/07/2011;0.16
01/08/2011;0.37
01/09/2011;0.53
01/10/2011;0.43
01/11/2011;0.52
01/12/2011;0.5
01/01/2012;0.56
01/02/2012;0.45
01/03/2012;0.21
01/04/2012;0.64
01/05/2012;0.36
01/06/2012;0.08
01/07/2012;0.43
01/08/2012;0.41
01/09/2012;0.57
01/10/2012;0.59
01/11/2012;0.6
01/12/2012;0.79
01/01/2013;0.86
01/02/2013;0.6
01/03/2013;0.47
01/04/2013;0.55
01/05/2013;0.37
01/06/2013;0.26
01/07/2013;0.03
01/08/2013;0.24
01/09/2013;0.35
01/10/2013;0.57
01/11/2013;0.54
01/12/2013;0.92
01/01/2014;0.55
01/02/2014;0.69
01/03/2014;0.92
01/04/2014;0.67
01/05/2014;0.46
01/06/2014;0.4
01/07/2014;0.01
01/08/2014;0.25
01/09/2014;0.57
01/10/2014;0.42
01/11/2014;0.51
01/12/2014;0.78
01/01/2015;1.24
01/02/2015;1.22
01/03/2015;1.32
01/04/2015;0.71
01/05/2015;0.74
01/06/2015;0.79
01/07/2015;0.62
01/08/2015;0.22
01/09/2015;0.54
01/10/2015;0.82
01/11/2015;1.01
01/12/2015;0.96
01/01/2016;1.27
01/02/2016;0.9
01/03/2016;0.43
01/04/2016;0.61
01/05/2016;0.78
01/06/2016;0.35
01/07/2016;0.52
01/08/2016;0.44
01/09/2016;0.08
01/10/2016;0.26
01/11/2016;0.18
01/12/2016;0.3
01/01/2017;0.38
01/02/2017;0.33
01/03/2017;0.25
01/04/2017;0.14
01/05/2017;0.31
